1PP							3PP																								
PHASE		cycle	EXP TIME	video time	HR		PHASE		cycle	EXP TIME	video time	HR																			
BASELINE	static	0	  0:00:00	00:00:00	89		BASELINE	static	0	  0:00:00	00:00:00	84																			
BASELINE	static	0	  0:00:01	00:00:01	88		BASELINE	static	0	  0:00:01	00:00:01	85																			
BASELINE	static	0	  0:00:02	00:00:02	88		BASELINE	static	0	  0:00:02	00:00:02	84																			
BASELINE	static	0	  0:00:03	00:00:03	88		BASELINE	static	0	  0:00:03	00:00:03	84																			
BASELINE	static	0	  0:00:04	00:00:04	87		BASELINE	static	0	  0:00:04	00:00:04	84																			
BASELINE	static	0	  0:00:05	00:00:05	87		BASELINE	static	0	  0:00:05	00:00:05	83																			
BASELINE	static	0	  0:00:06	00:00:06	87		BASELINE	static	0	  0:00:06	00:00:06	83																			
BASELINE	static	0	  0:00:07	00:00:07	87		BASELINE	static	0	  0:00:07	00:00:07	83																			
BASELINE	static	0	  0:00:08	00:00:08	87		BASELINE	static	0	  0:00:08	00:00:08	83																			
BASELINE	static	0	  0:00:09	00:00:09	87		BASELINE	static	0	  0:00:09	00:00:09	83																			
BASELINE	static	0	  0:00:10	00:00:10	87		BASELINE	static	0	  0:00:10	00:00:10	84																			
BASELINE	static	0	  0:00:11	00:00:11	87		BASELINE	static	0	  0:00:11	00:00:11	84																			
BASELINE	static	0	  0:00:12	00:00:12	87		BASELINE	static	0	  0:00:12	00:00:12	85																			
BASELINE	static	0	  0:00:13	00:00:13	87		BASELINE	static	0	  0:00:13	00:00:13	85																			
BASELINE	static	0	  0:00:14	00:00:14	87		BASELINE	static	0	  0:00:14	00:00:14	85																			
BASELINE	static	0	  0:00:15	00:00:15	87		BASELINE	static	0	  0:00:15	00:00:15	86																			
BASELINE	static	0	  0:00:16	00:00:16	87		BASELINE	static	0	  0:00:16	00:00:16	85																			
BASELINE	static	0	  0:00:17	00:00:17	86		BASELINE	static	0	  0:00:17	00:00:17	85																			
BASELINE	static	0	  0:00:18	00:00:18	87		BASELINE	static	0	  0:00:18	00:00:18	85																			
BASELINE	static	0	  0:00:19	00:00:19	88		BASELINE	static	0	  0:00:19	00:00:19	84																			
BASELINE	static	0	  0:00:20	00:00:20	88		BASELINE	static	0	  0:00:20	00:00:20	84																			
BASELINE	static	0	  0:00:21	00:00:21	87		BASELINE	static	0	  0:00:21	00:00:21	83																			
BASELINE	static	0	  0:00:22	00:00:22	88		BASELINE	static	0	  0:00:22	00:00:22	83																			
BASELINE	static	0	  0:00:23	00:00:23	89		BASELINE	static	0	  0:00:23	00:00:23	83																			
BASELINE	static	0	  0:00:24	00:00:24	90		BASELINE	static	0	  0:00:24	00:00:24	83																			
BASELINE	static	0	  0:00:25	00:00:25	90		BASELINE	static	0	  0:00:25	00:00:25	82																			
BASELINE	static	0	  0:00:26	00:00:26	89		BASELINE	static	0	  0:00:26	00:00:26	82																			
BASELINE	static	0	  0:00:27	00:00:27	89		BASELINE	static	0	  0:00:27	00:00:27	81																			
BASELINE	static	0	  0:00:28	00:00:28	88		BASELINE	static	0	  0:00:28	00:00:28	81																			
BASELINE	static	0	  0:00:29	00:00:29	86		BASELINE	static	0	  0:00:29	00:00:29	81																			
BASELINE	static	0	  0:00:30	00:00:30	85		BASELINE	static	0	  0:00:30	00:00:30	81																			
BASELINE	static	0	  0:00:31	00:00:31	83		BASELINE	static	0	  0:00:31	00:00:31	81																			
BASELINE	static	0	  0:00:32	00:00:32	82		BASELINE	static	0	  0:00:32	00:00:32	82																			
BASELINE	static	0	  0:00:33	00:00:33	83		BASELINE	static	0	  0:00:33	00:00:33	82																			
BASELINE	static	0	  0:00:34	00:00:34	83		BASELINE	static	0	  0:00:34	00:00:34	83																			
BASELINE	static	0	  0:00:35	00:00:35	83		BASELINE	static	0	  0:00:35	00:00:35	83																			
BASELINE	static	0	  0:00:36	00:00:36	86		BASELINE	static	0	  0:00:36	00:00:36	83																			
BASELINE	static	0	  0:00:37	00:00:37	86		BASELINE	static	0	  0:00:37	00:00:37	85																			
BASELINE	static	0	  0:00:38	00:00:38	85		BASELINE	static	0	  0:00:38	00:00:38	85																			
BASELINE	static	0	  0:00:39	00:00:39	84		BASELINE	static	0	  0:00:39	00:00:39	84																			
BASELINE	static	0	  0:00:40	00:00:40	81		BASELINE	static	0	  0:00:40	00:00:40	85																			
BASELINE	static	0	  0:00:41	00:00:41	81		BASELINE	static	0	  0:00:41	00:00:41	85																			
BASELINE	static	0	  0:00:42	00:00:42	81		BASELINE	static	0	  0:00:42	00:00:42	86																			
BASELINE	static	0	  0:00:43	00:00:43	81		BASELINE	static	0	  0:00:43	00:00:43	86																			
BASELINE	static	0	  0:00:44	00:00:44	83		BASELINE	static	0	  0:00:44	00:00:44	86																			
BASELINE	static	0	  0:00:45	00:00:45	84		BASELINE	static	0	  0:00:45	00:00:45	84																			
BASELINE	static	0	  0:00:46	00:00:46	85		BASELINE	static	0	  0:00:46	00:00:46	84																			
BASELINE	static	0	  0:00:47	00:00:47	85		BASELINE	static	0	  0:00:47	00:00:47	83																			
BASELINE	static	0	  0:00:48	00:00:48	84		BASELINE	static	0	  0:00:48	00:00:48	83																			
