1PP							3PP																										
PHASE		cycle	EXP TIME	video time	HR		PHASE		cycle	EXP TIME	video time	HR																					
BASELINE	static	0	  0:00:00	  0:00:05	77		BASELINE	static	0	  0:00:00	00:00:10	87																					
BASELINE	static	0	  0:00:01	  0:00:06	77		BASELINE	static	0	  0:00:01	00:00:11	86																					
BASELINE	static	0	  0:00:02	  0:00:07	77		BASELINE	static	0	  0:00:02	00:00:12	86																					
BASELINE	static	0	  0:00:03	  0:00:08	74		BASELINE	static	0	  0:00:03	00:00:13	86																					
BASELINE	static	0	  0:00:04	  0:00:09	73		BASELINE	static	0	  0:00:04	00:00:14	86																					
BASELINE	static	0	  0:00:05	  0:00:10	73		BASELINE	static	0	  0:00:05	00:00:15	86																					
BASELINE	static	0	  0:00:06	  0:00:11	73		BASELINE	static	0	  0:00:06	00:00:16	86																					
BASELINE	static	0	  0:00:07	  0:00:12	72		BASELINE	static	0	  0:00:07	00:00:17	86																					
BASELINE	static	0	  0:00:08	  0:00:13	72		BASELINE	static	0	  0:00:08	00:00:18	86																					
BASELINE	static	0	  0:00:09	  0:00:14	71		BASELINE	static	0	  0:00:09	00:00:19	85																					
BASELINE	static	0	  0:00:10	  0:00:15	71		BASELINE	static	0	  0:00:10	00:00:20	86																					
BASELINE	static	0	  0:00:11	  0:00:16	71		BASELINE	static	0	  0:00:11	00:00:21	86																					
BASELINE	static	0	  0:00:12	  0:00:17	71		BASELINE	static	0	  0:00:12	00:00:22	86																					
BASELINE	static	0	  0:00:13	  0:00:18	71		BASELINE	static	0	  0:00:13	00:00:23	86																					
BASELINE	static	0	  0:00:14	  0:00:19	71		BASELINE	static	0	  0:00:14	00:00:24	86																					
BASELINE	static	0	  0:00:15	  0:00:20	71		BASELINE	static	0	  0:00:15	00:00:25	86																					
BASELINE	static	0	  0:00:16	  0:00:21	71		BASELINE	static	0	  0:00:16	00:00:26	85																					
BASELINE	static	0	  0:00:17	  0:00:22	70		BASELINE	static	0	  0:00:17	00:00:27	85																					
BASELINE	static	0	  0:00:18	  0:00:23	69		BASELINE	static	0	  0:00:18	00:00:28	84																					
BASELINE	static	0	  0:00:19	  0:00:24	69		BASELINE	static	0	  0:00:19	00:00:29	84																					
BASELINE	static	0	  0:00:20	  0:00:25	68		BASELINE	static	0	  0:00:20	00:00:30	85																					
BASELINE	static	0	  0:00:21	  0:00:26	68		BASELINE	static	0	  0:00:21	00:00:31	85																					
BASELINE	static	0	  0:00:22	  0:00:27	68		BASELINE	static	0	  0:00:22	00:00:32	85																					
BASELINE	static	0	  0:00:23	  0:00:28	67		BASELINE	static	0	  0:00:23	00:00:33	84																					
BASELINE	static	0	  0:00:24	  0:00:29	67		BASELINE	static	0	  0:00:24	00:00:34	84																					
BASELINE	static	0	  0:00:25	  0:00:30	67		BASELINE	static	0	  0:00:25	00:00:35	85																					
BASELINE	static	0	  0:00:26	  0:00:31	66		BASELINE	static	0	  0:00:26	00:00:36	85																					
BASELINE	static	0	  0:00:27	  0:00:32	66		BASELINE	static	0	  0:00:27	00:00:37	85																					
BASELINE	static	0	  0:00:28	  0:00:33	66		BASELINE	static	0	  0:00:28	00:00:38	85																					
BASELINE	static	0	  0:00:29	  0:00:34	66		BASELINE	static	0	  0:00:29	00:00:39	85																					
BASELINE	static	0	  0:00:30	  0:00:35	67		BASELINE	static	0	  0:00:30	00:00:40	85																					
BASELINE	static	0	  0:00:31	  0:00:36	67		BASELINE	static	0	  0:00:31	00:00:41	86																					
BASELINE	static	0	  0:00:32	  0:00:37	67		BASELINE	static	0	  0:00:32	00:00:42	86																					
BASELINE	static	0	  0:00:33	  0:00:38	67		BASELINE	static	0	  0:00:33	00:00:43	86																					
BASELINE	static	0	  0:00:34	  0:00:39	67		BASELINE	static	0	  0:00:34	00:00:44	86																					
BASELINE	static	0	  0:00:35	  0:00:40	67		BASELINE	static	0	  0:00:35	00:00:45	86																					
BASELINE	static	0	  0:00:36	  0:00:41	68		BASELINE	static	0	  0:00:36	00:00:46	86																					
BASELINE	static	0	  0:00:37	  0:00:42	68		BASELINE	static	0	  0:00:37	00:00:47	85																					
BASELINE	static	0	  0:00:38	  0:00:43	68		BASELINE	static	0	  0:00:38	00:00:48	85																					
BASELINE	static	0	  0:00:39	  0:00:44	68		BASELINE	static	0	  0:00:39	00:00:49	85																					
BASELINE	static	0	  0:00:40	  0:00:45	67		BASELINE	static	0	  0:00:40	00:00:50	85																					
BASELINE	static	0	  0:00:41	  0:00:46	68		BASELINE	static	0	  0:00:41	00:00:51	86																					
BASELINE	static	0	  0:00:42	  0:00:47	68		BASELINE	static	0	  0:00:42	00:00:52	86																					
BASELINE	static	0	  0:00:43	  0:00:48	68		BASELINE	static	0	  0:00:43	00:00:53	88																					
BASELINE	static	0	  0:00:44	  0:00:49	68		BASELINE	static	0	  0:00:44	00:00:54	90																					
BASELINE	static	0	  0:00:45	  0:00:50	68		BASELINE	static	0	  0:00:45	00:00:55	90																					
BASELINE	static	0	  0:00:46	  0:00:51	69		BASELINE	static	0	  0:00:46	00:00:56	90																					
BASELINE	static	0	  0:00:47	  0:00:52	71		BASELINE	static	0	  0:00:47	00:00:57	91																					
BASELINE	static	0	  0:00:48	  0:00:53	72		BASELINE	static	0	  0:00:48	00:00:58	91																					
BASELINE	static	0	  0:00:49	  0:00:54	72		BASELINE	static	0	  0:00:49	00:00:59	90																					
BASELINE	static	0	  0:00:50	  0:00:55	72		BASELINE	static	0	  0:00:50	00:01:00	90																					
BASELINE	static	0	  0:00:51	  0:00:56	71		BASELINE	static	0	  0:00:51	00:01:01	90																					
BASELINE	static	0	  0:00:52	  0:00:57	70		BASELINE	static	0	  0:00:52	00:01:02	89																					
BASELINE	static	0	  0:00:53	  0:00:58	70		BASELINE	static	0	  0:00:53	00:01:03	89																					
BASELINE	static	0	  0:00:54	  0:00:59	69		BASELINE	static	0	  0:00:54	00:01:04	89																					
BASELINE	static	0	  0:00:55	  0:01:00	69		BASELINE	static	0	  0:00:55	00:01:05	88																					
BASELINE	static	0	  0:00:56	  0:01:01	69		BASELINE	static	0	  0:00:56	00:01:06	88																					
BASELINE	static	0	  0:00:57	  0:01:02	69		BASELINE	static	0	  0:00:57	00:01:07	88																					
BASELINE	static	0	  0:00:58	  0:01:03	69		BASELINE	static	0	  0:00:58	00:01:08	88																					
BASELINE	static	0	  0:00:59	  0:01:04	69		BASELINE	static	0	  0:00:59	00:01:09	88																					
BASELINE	static	0	  0:01:00	  0:01:05	70		BASELINE	static	0	  0:01:00	00:01:10	88																					
BASELINE	static	0	  0:01:01	  0:01:06	70		BASELINE	static	0	  0:01:01	00:01:11	88																					
BASELINE	static	0	  0:01:02	  0:01:07	69		BASELINE	static	0	  0:01:02	00:01:12	87																					
BASELINE	static	0	  0:01:03	  0:01:08	69		BASELINE	static	0	  0:01:03	00:01:13	87																					
BASELINE	static	0	  0:01:04	  0:01:09	68		BASELINE	static	0	  0:01:04	00:01:14	87																					
BASELINE	static	0	  0:01:05	  0:01:10	68		BASELINE	static	0	  0:01:05	00:01:15	87																					
BASELINE	static	0	  0:01:06	  0:01:11	68		BASELINE	static	0	  0:01:06	00:01:16	87																					
