1PP							3PP																										
PHASE		cycle	EXP TIME	video time	HR		PHASE		cycle	EXP TIME	video time	HR																					
BASELINE	static	0	  0:00:00	  0:00:04	38		BASELINE	static	0	  0:00:00	  0:00:17	45																					
BASELINE	static	0	  0:00:01	  0:00:05	38		BASELINE	static	0	  0:00:01	  0:00:18	45																					
BASELINE	static	0	  0:00:02	  0:00:06	38		BASELINE	static	0	  0:00:02	  0:00:19	45																					
BASELINE	static	0	  0:00:03	  0:00:07	38		BASELINE	static	0	  0:00:03	  0:00:20	45																					
BASELINE	static	0	  0:00:04	  0:00:08	38		BASELINE	static	0	  0:00:04	  0:00:21	45																					
BASELINE	static	0	  0:00:05	  0:00:09	38		BASELINE	static	0	  0:00:05	  0:00:22	45																					
BASELINE	static	0	  0:00:06	  0:00:10	38		BASELINE	static	0	  0:00:06	  0:00:23	45																					
BASELINE	static	0	  0:00:07	  0:00:11	38		BASELINE	static	0	  0:00:07	  0:00:24	45																					
BASELINE	static	0	  0:00:08	  0:00:12	38		BASELINE	static	0	  0:00:08	  0:00:25	44																					
BASELINE	static	0	  0:00:09	  0:00:13	38		BASELINE	static	0	  0:00:09	  0:00:26	44																					
BASELINE	static	0	  0:00:10	  0:00:14	38		BASELINE	static	0	  0:00:10	  0:00:27	44																					
BASELINE	static	0	  0:00:11	  0:00:15	38		BASELINE	static	0	  0:00:11	  0:00:28	44																					
BASELINE	static	0	  0:00:12	  0:00:16	38		BASELINE	static	0	  0:00:12	  0:00:29	44																					
BASELINE	static	0	  0:00:13	  0:00:17	38		BASELINE	static	0	  0:00:13	  0:00:30	44																					
BASELINE	static	0	  0:00:14	  0:00:18	39		BASELINE	static	0	  0:00:14	  0:00:31	44																					
BASELINE	static	0	  0:00:15	  0:00:19	39		BASELINE	static	0	  0:00:15	  0:00:32	44																					
BASELINE	static	0	  0:00:16	  0:00:20	39		BASELINE	static	0	  0:00:16	  0:00:33	44																					
BASELINE	static	0	  0:00:17	  0:00:21	39		BASELINE	static	0	  0:00:17	  0:00:34	44																					
BASELINE	static	0	  0:00:18	  0:00:22	39		BASELINE	static	0	  0:00:18	  0:00:35	44																					
BASELINE	static	0	  0:00:19	  0:00:23	38		BASELINE	static	0	  0:00:19	  0:00:36	44																					
BASELINE	static	0	  0:00:20	  0:00:24	38		BASELINE	static	0	  0:00:20	  0:00:37	44																					
BASELINE	static	0	  0:00:21	  0:00:25	38		BASELINE	static	0	  0:00:21	  0:00:38	43																					
BASELINE	static	0	  0:00:22	  0:00:26	38		BASELINE	static	0	  0:00:22	  0:00:39	43																					
BASELINE	static	0	  0:00:23	  0:00:27	38		BASELINE	static	0	  0:00:23	  0:00:40	43																					
BASELINE	static	0	  0:00:24	  0:00:28	38		BASELINE	static	0	  0:00:24	  0:00:41	43																					
BASELINE	static	0	  0:00:25	  0:00:29	38		BASELINE	static	0	  0:00:25	  0:00:42	43																					
BASELINE	static	0	  0:00:26	  0:00:30	38		BASELINE	static	0	  0:00:26	  0:00:43	43																					
BASELINE	static	0	  0:00:27	  0:00:31	38		BASELINE	static	0	  0:00:27	  0:00:44	43																					
BASELINE	static	0	  0:00:28	  0:00:32	38		BASELINE	static	0	  0:00:28	  0:00:45	43																					
BASELINE	static	0	  0:00:29	  0:00:33	38		BASELINE	static	0	  0:00:29	  0:00:46	43																					
BASELINE	static	0	  0:00:30	  0:00:34	38		BASELINE	static	0	  0:00:30	  0:00:47	43																					
BASELINE	static	0	  0:00:31	  0:00:35	38		BASELINE	static	0	  0:00:31	  0:00:48	43																					
BASELINE	static	0	  0:00:32	  0:00:36	38		BASELINE	static	0	  0:00:32	  0:00:49	43																					
BASELINE	static	0	  0:00:33	  0:00:37	38		BASELINE	static	0	  0:00:33	  0:00:50	43																					
BASELINE	static	0	  0:00:34	  0:00:38	38		BASELINE	static	0	  0:00:34	  0:00:51	43																					
BASELINE	static	0	  0:00:35	  0:00:39	38		BASELINE	static	0	  0:00:35	  0:00:52	43																					
BASELINE	static	0	  0:00:36	  0:00:40	38		BASELINE	static	0	  0:00:36	  0:00:53	43																					
BASELINE	static	0	  0:00:37	  0:00:41	38		BASELINE	static	0	  0:00:37	  0:00:54	43																					
BASELINE	static	0	  0:00:38	  0:00:42	38		BASELINE	static	0	  0:00:38	  0:00:55	43																					
BASELINE	static	0	  0:00:39	  0:00:43	38		BASELINE	static	0	  0:00:39	  0:00:56	43																					
BASELINE	static	0	  0:00:40	  0:00:44	38		BASELINE	static	0	  0:00:40	  0:00:57	43																					
BASELINE	static	0	  0:00:41	  0:00:45	38		BASELINE	static	0	  0:00:41	  0:00:58	43																					
BASELINE	static	0	  0:00:42	  0:00:46	39		BASELINE	static	0	  0:00:42	  0:00:59	43																					
BASELINE	static	0	  0:00:43	  0:00:47	38		BASELINE	static	0	  0:00:43	  0:01:00	43																					
BASELINE	static	0	  0:00:44	  0:00:48	39		BASELINE	static	0	  0:00:44	  0:01:01	43																					
BASELINE	static	0	  0:00:45	  0:00:49	39		BASELINE	static	0	  0:00:45	  0:01:02	43																					
BASELINE	static	0	  0:00:46	  0:00:50	39		BASELINE	static	0	  0:00:46	  0:01:03	43																					
BASELINE	static	0	  0:00:47	  0:00:51	39		BASELINE	static	0	  0:00:47	  0:01:04	43																					
BASELINE	static	0	  0:00:48	  0:00:52	39		BASELINE	static	0	  0:00:48	  0:01:05	43																					
BASELINE	static	0	  0:00:49	  0:00:53	39		BASELINE	static	0	  0:00:49	  0:01:06	44																					
BASELINE	static	0	  0:00:50	  0:00:54	39		BASELINE	static	0	  0:00:50	  0:01:07	43																					
BASELINE	static	0	  0:00:51	  0:00:55	39		BASELINE	static	0	  0:00:51	  0:01:08	43																					
BASELINE	static	0	  0:00:52	  0:00:56	39		BASELINE	static	0	  0:00:52	  0:01:09	43																					
BASELINE	static	0	  0:00:53	  0:00:57	39		BASELINE	static	0	  0:00:53	  0:01:10	44																					
BASELINE	static	0	  0:00:54	  0:00:58	39		BASELINE	static	0	  0:00:54	  0:01:11	43																					
BASELINE	static	0	  0:00:55	  0:00:59	39		BASELINE	static	0	  0:00:55	  0:01:12	43																					
BASELINE	static	0	  0:00:56	  0:01:00	39		BASELINE	static	0	  0:00:56	  0:01:13	43																					
BASELINE	static	0	  0:00:57	  0:01:01	39		BASELINE	static	0	  0:00:57	  0:01:14	43																					
BASELINE	static	0	  0:00:58	  0:01:02	39		BASELINE	static	0	  0:00:58	  0:01:15	44																					
BASELINE	static	0	  0:00:59	  0:01:03	39		BASELINE	static	0	  0:00:59	  0:01:16	44																					
BASELINE	static	0	  0:01:00	  0:01:04	39		BASELINE	static	0	  0:01:00	  0:01:17	44																					
BASELINE	static	0	  0:01:01	  0:01:05	39		BASELINE	static	0	  0:01:01	  0:01:18	43																					
BASELINE	static	0	  0:01:02	  0:01:06	39		BASELINE	static	0	  0:01:02	  0:01:19	43																					
BASELINE	static	0	  0:01:03	  0:01:07	39		BASELINE	static	0	  0:01:03	  0:01:20	44																					
BASELINE	static	0	  0:01:04	  0:01:08	39		BASELINE	static	0	  0:01:04	  0:01:21	44																					
BASELINE	static	0	  0:01:05	  0:01:09	39		BASELINE	static	0	  0:01:05	  0:01:22	43																					
BASELINE	static	0	  0:01:06	  0:01:10	39		BASELINE	static	0	  0:01:06	  0:01:23	43																					
BASELINE	static	0	  0:01:07	  0:01:11	39		BASELINE	static	0	  0:01:07	  0:01:24	43																					
BASELINE	static	0	  0:01:08	  0:01:12	39		BASELINE	static	0	  0:01:08	  0:01:25	43																					
BASELINE	static	0	  0:01:09	  0:01:13	38		BASELINE	static	0	  0:01:09	  0:01:26	43																					
BASELINE	static	0	  0:01:10	  0:01:14	39		BASELINE	static	0	  0:01:10	  0:01:27	43																					
BASELINE	static	0	  0:01:11	  0:01:15	39		BASELINE	static	0	  0:01:11	  0:01:28	43																					
BASELINE	static	0	  0:01:12	  0:01:16	39		BASELINE	static	0	  0:01:12	  0:01:29	43																					
