1PP							3PP																								
PHASE		cycle	EXP TIME	video time	HR		PHASE		cycle	EXP TIME	video time	HR																			
BASELINE	static	0	  0:00:00	00:00:42	86		BASELINE	static	0	  0:00:00	00:03:08	91																			
BASELINE	static	0	  0:00:01	00:00:43	86		BASELINE	static	0	  0:00:01	00:03:09	91																			
BASELINE	static	0	  0:00:02	00:00:44	85		BASELINE	static	0	  0:00:02	00:03:10	92																			
BASELINE	static	0	  0:00:03	00:00:45	85		BASELINE	static	0	  0:00:03	00:03:11	92																			
BASELINE	static	0	  0:00:04	00:00:46	86		BASELINE	static	0	  0:00:04	00:03:12	92																			
BASELINE	static	0	  0:00:05	00:00:47	86		BASELINE	static	0	  0:00:05	00:03:13	92																			
BASELINE	static	0	  0:00:06	00:00:48	86		BASELINE	static	0	  0:00:06	00:03:14	92																			
BASELINE	static	0	  0:00:07	00:00:49	86		BASELINE	static	0	  0:00:07	00:03:15	91																			
BASELINE	static	0	  0:00:08	00:00:50	86		BASELINE	static	0	  0:00:08	00:03:16	91																			
BASELINE	static	0	  0:00:09	00:00:51	86		BASELINE	static	0	  0:00:09	00:03:17	91																			
BASELINE	static	0	  0:00:10	00:00:52	86		BASELINE	static	0	  0:00:10	00:03:18	90																			
BASELINE	static	0	  0:00:11	00:00:53	86		BASELINE	static	0	  0:00:11	00:03:19	90																			
BASELINE	static	0	  0:00:12	00:00:54	86		BASELINE	static	0	  0:00:12	00:03:20	90																			
BASELINE	static	0	  0:00:13	00:00:55	86		BASELINE	static	0	  0:00:13	00:03:21	90																			
BASELINE	static	0	  0:00:14	00:00:56	85		BASELINE	static	0	  0:00:14	00:03:22	90																			
BASELINE	static	0	  0:00:15	00:00:57	85		BASELINE	static	0	  0:00:15	00:03:23	90																			
BASELINE	static	0	  0:00:16	00:00:58	85		BASELINE	static	0	  0:00:16	00:03:24	90																			
BASELINE	static	0	  0:00:17	00:00:59	84		BASELINE	static	0	  0:00:17	00:03:25	91																			
BASELINE	static	0	  0:00:18	00:01:00	84		BASELINE	static	0	  0:00:18	00:03:26	91																			
BASELINE	static	0	  0:00:19	00:01:01	84		BASELINE	static	0	  0:00:19	00:03:27	91																			
BASELINE	static	0	  0:00:20	00:01:02	84		BASELINE	static	0	  0:00:20	00:03:28	91																			
BASELINE	static	0	  0:00:21	00:01:03	84		BASELINE	static	0	  0:00:21	00:03:29	91																			
BASELINE	static	0	  0:00:22	00:01:04	84		BASELINE	static	0	  0:00:22	00:03:30	91																			
BASELINE	static	0	  0:00:23	00:01:05	84		BASELINE	static	0	  0:00:23	00:03:31	91																			
BASELINE	static	0	  0:00:24	00:01:06	83		BASELINE	static	0	  0:00:24	00:03:32	91																			
BASELINE	static	0	  0:00:25	00:01:07	83		BASELINE	static	0	  0:00:25	00:03:33	92																			
BASELINE	static	0	  0:00:26	00:01:08	82		BASELINE	static	0	  0:00:26	00:03:34	92																			
BASELINE	static	0	  0:00:27	00:01:09	82		BASELINE	static	0	  0:00:27	00:03:35	92																			
BASELINE	static	0	  0:00:28	00:01:10	81		BASELINE	static	0	  0:00:28	00:03:36	93																			
BASELINE	static	0	  0:00:29	00:01:11	81		BASELINE	static	0	  0:00:29	00:03:37	93																			
BASELINE	static	0	  0:00:30	00:01:12	81		BASELINE	static	0	  0:00:30	00:03:38	93																			
BASELINE	static	0	  0:00:31	00:01:13	81		BASELINE	static	0	  0:00:31	00:03:39	94																			
BASELINE	static	0	  0:00:32	00:01:14	80		BASELINE	static	0	  0:00:32	00:03:40	94																			
BASELINE	static	0	  0:00:33	00:01:15	80		BASELINE	static	0	  0:00:33	00:03:41	94																			
BASELINE	static	0	  0:00:34	00:01:16	81		BASELINE	static	0	  0:00:34	00:03:42	94																			
BASELINE	static	0	  0:00:35	00:01:17	81		BASELINE	static	0	  0:00:35	00:03:43	94																			
BASELINE	static	0	  0:00:36	00:01:18	81		BASELINE	static	0	  0:00:36	00:03:44	93																			
BASELINE	static	0	  0:00:37	00:01:19	80		BASELINE	static	0	  0:00:37	00:03:45	92																			
BASELINE	static	0	  0:00:38	00:01:20	80		BASELINE	static	0	  0:00:38	00:03:46	91																			
